gender,Age,Distance_Mean,Distance_Min,Distance_Max,Distance_SDev,Distance_Median,Median Speed_Mean,Median Speed_Min,Median Speed_Max,Median Speed_SDev,Median Speed_Median,Record_Count
"Male",28.000000,0.861735,0.000000,7.650040,0.794505,0.650042,5.046783,0.000000,39.380689,3.408608,4.585136,131638
"Male",27.000000,0.856104,0.000000,9.040009,0.775492,0.646754,5.036609,0.000000,19.018351,3.430692,4.627704,116208
"Female",38.000000,0.870899,0.000000,5.486285,0.801682,0.637730,4.317285,0.000000,14.982636,2.997547,3.911641,12930
"Male",32.000000,0.871479,0.000000,6.220522,0.783291,0.679962,5.194329,0.000000,18.679613,3.502929,4.824533,93069
"Female",28.000000,0.907772,0.000000,6.011409,0.818743,0.682347,4.530784,0.000000,16.767938,3.114195,4.145903,50690
"Male",29.000000,0.890107,0.000000,7.390923,0.805148,0.673262,5.100197,0.000000,19.293831,3.502389,4.724914,112648
"Male",30.000000,0.863293,0.000000,7.760383,0.780032,0.661909,5.138027,0.000000,18.366310,3.533662,4.637685,115988
"Male",36.000000,0.797744,0.000000,6.086555,0.739042,0.624069,4.768143,0.000000,19.275742,3.332313,4.344720,68958
"Male",25.000000,0.821472,0.000000,6.436236,0.744576,0.644874,4.934279,0.000000,19.429304,3.459894,4.519398,110075
"Female",27.000000,0.880438,0.000000,6.011409,0.804434,0.659172,4.631060,0.000000,16.846322,3.175708,4.230135,48871
"Male",33.000000,0.937819,0.000000,7.782939,0.865713,0.688878,5.198149,0.000000,18.720606,3.503697,4.763184,96105
"Male",35.000000,0.870201,0.000000,7.061739,0.832103,0.660700,4.970357,0.000000,18.068669,3.451814,4.496663,77297
"Male",37.000000,0.893980,0.000000,6.583669,0.832007,0.695099,5.052616,0.000000,18.684489,3.340953,4.680631,66193
"Male",47.000000,0.876931,0.000000,10.993201,0.807419,0.661909,5.101493,0.000000,17.300143,3.450343,4.953052,35622
"Male",31.000000,0.883264,0.000000,7.045010,0.812718,0.654082,5.230199,0.000000,18.820509,3.534281,4.792687,106273
"Male",41.000000,0.791417,0.000000,8.771694,0.695449,0.653556,4.915454,0.000000,16.895673,3.304324,4.741069,40306
"Female",30.000000,0.914743,0.000000,10.944217,0.805213,0.702229,4.701515,0.000000,16.403439,3.214617,4.392958,37955
"Female",26.000000,0.848578,0.000000,6.521673,0.753932,0.655137,4.506532,0.000000,17.283813,3.115706,4.036742,50575
"",,0.800564,0.000000,12.677107,0.787888,0.603303,2.194174,0.000000,17.682889,2.101012,1.642106,836500
"Female",25.000000,0.869026,0.000000,6.160023,0.740618,0.682608,4.392221,0.000000,18.145992,2.974400,4.011638,46115
"Male",26.000000,0.824535,0.000000,8.814180,0.758027,0.635867,4.939425,0.000000,22.015353,3.429690,4.539612,112751
"Female",34.000000,0.925270,0.000000,6.420488,0.810337,0.695853,4.727779,0.000000,16.084907,3.266800,4.308930,22579
"Male",60.000000,0.762636,0.000000,5.230436,0.627696,0.661909,4.601826,0.000000,15.365879,2.936125,4.345373,13898
"Female",29.000000,0.948486,0.000000,7.246643,0.828837,0.718151,4.584013,0.000000,16.284364,3.180070,4.085944,43764
"Male",40.000000,0.909611,0.000000,7.315796,0.819815,0.715696,5.201584,0.000000,17.904697,3.422065,4.788897,46108
"Female",36.000000,0.836915,0.000000,6.141281,0.800787,0.589505,4.293706,0.000000,16.186876,2.941948,4.003035,17800
"Male",22.000000,0.711817,0.000000,8.881346,0.637498,0.567434,5.120201,0.000000,17.249163,3.453260,4.831681,21750
"Male",51.000000,0.744033,0.000000,7.019070,0.629062,0.618801,4.647632,0.000000,16.675235,3.134460,4.346226,28140
"Male",24.000000,0.758166,0.000000,6.804506,0.703244,0.593946,4.846440,0.000000,18.773120,3.474368,4.361103,91342
"Male",34.000000,0.890222,0.000000,6.996966,0.819226,0.685536,5.061821,0.000000,17.784898,3.358540,4.687864,81489
"Female",32.000000,0.930800,0.000000,6.345433,0.814833,0.692666,4.725123,0.000000,16.790540,3.147464,4.331297,34916
"Female",35.000000,0.954399,0.000000,6.729012,0.833732,0.711819,4.718704,0.000000,16.725944,3.253071,4.209355,22805
"Male",46.000000,0.844466,0.000000,8.575120,0.707599,0.721679,5.131857,0.000000,37.131277,3.275626,4.875006,28717
"Male",48.000000,0.833292,0.000000,5.639349,0.765731,0.682873,4.994581,0.000000,17.956636,3.344817,4.781842,32339
"Female",44.000000,0.810351,0.000000,5.498377,0.679132,0.665986,3.924761,0.000000,16.127947,2.841373,3.518337,7700
"Male",43.000000,0.890806,0.000000,6.615367,0.795218,0.648598,5.253373,0.000000,17.796841,3.316601,5.139764,35852
"Male",49.000000,0.770754,0.000000,6.829554,0.624293,0.643983,5.199665,0.000000,16.215142,3.309711,4.966810,26218
"Male",57.000000,0.804201,0.000000,10.677247,0.702346,0.661594,4.542927,0.000000,17.262080,3.207363,4.013880,25829
"Male",42.000000,0.898963,0.000000,6.544376,0.816426,0.695099,5.145963,0.000000,18.405535,3.327433,4.809211,39611
"Male",61.000000,0.765226,0.000000,4.729041,0.693229,0.618080,4.293052,0.000000,17.126837,3.090740,3.866902,13706
"Male",55.000000,0.839794,0.000000,6.009793,0.710446,0.697655,4.926641,0.000000,16.168867,3.140832,4.809502,24620
"Male",21.000000,0.675907,0.000000,6.284848,0.669487,0.510997,4.717336,0.000000,19.105331,3.602085,4.106320,11813
"Female",19.000000,0.716227,0.000000,5.913352,0.776763,0.423888,3.940755,0.000000,14.143171,3.142421,3.210953,3207
"Male",38.000000,0.879682,0.000000,10.751080,0.834954,0.665564,5.024587,0.000000,17.881981,3.431244,4.671300,51125
"Male",20.000000,0.654063,0.000000,7.246101,0.703722,0.391397,4.170382,0.000000,15.752158,3.189730,3.749505,13827
"Female",24.000000,0.873258,0.000000,8.442234,0.776450,0.667452,4.484928,0.000000,17.216062,3.083955,4.028862,36786
"Female",46.000000,0.793640,0.000000,6.392938,0.699189,0.678724,4.336039,0.000000,15.883158,3.053178,3.844967,7086
"Male",44.000000,0.872665,0.000000,6.268087,0.705401,0.712500,5.180839,0.000000,17.764580,3.371874,5.068921,29534
"Male",23.000000,0.748093,0.000000,6.320950,0.699495,0.596971,4.864087,0.000000,18.541348,3.446539,4.385055,52721
"Female",31.000000,0.922990,0.000000,8.745777,0.820270,0.697773,4.781310,0.000000,17.326636,3.324604,4.260694,37418
"Male",39.000000,0.922646,0.000000,7.215698,0.817223,0.704038,5.327796,0.000000,16.898118,3.356287,5.054920,45130
"Male",45.000000,0.872457,0.000000,6.692528,0.745215,0.706227,5.232050,0.000000,18.440161,3.479382,5.075430,30411
"Female",22.000000,0.839366,0.000000,6.475770,0.784482,0.618966,4.374227,0.000000,16.221529,3.059418,3.986654,11297
"Female",33.000000,0.951170,0.000000,6.993437,0.820339,0.733131,4.797572,0.000000,16.830115,3.239934,4.436662,32130
"Male",68.000000,0.798425,0.000000,5.136993,0.754432,0.588214,3.917874,0.000000,14.287802,2.983675,3.284049,4106
"Female",23.000000,0.837753,0.000000,6.909891,0.757414,0.656691,4.591622,0.000000,17.833241,3.094019,4.251933,23908
"Male",56.000000,0.795772,0.000000,6.333223,0.743930,0.633314,4.854692,0.000000,15.898509,3.193975,4.648881,22126
"Female",20.000000,0.649738,0.000000,6.158465,0.668121,0.419272,3.692825,0.000000,18.032075,2.905958,3.082382,5065
"Female",37.000000,0.924755,0.000000,6.220522,0.810701,0.716922,4.556980,0.000000,16.525170,3.032398,4.095905,14828
"Female",52.000000,0.929767,0.000000,4.834929,0.760068,0.749744,4.642698,0.000000,14.720562,3.103744,4.421062,8377
"Male",66.000000,0.771980,0.000000,5.232542,0.657852,0.591938,4.664365,0.000000,13.331318,2.761189,4.524308,6397
"Female",42.000000,0.987867,0.000000,6.028437,0.888540,0.704038,4.660815,0.000000,15.652324,3.053619,4.515434,7873
"Female",53.000000,0.738700,0.000000,6.094527,0.679724,0.578727,4.007531,0.000000,14.715241,2.855087,3.548517,9374
"Male",54.000000,0.737248,0.000000,8.087780,0.680423,0.596971,4.655931,0.000000,17.344300,3.282919,4.101957,24155
"Male",53.000000,0.735389,0.000000,7.927081,0.644025,0.599009,4.414798,0.000000,18.110959,3.077692,4.144716,24376
"Female",47.000000,0.786885,0.000000,4.954406,0.722252,0.646754,4.189759,0.000000,14.421121,2.903165,3.789302,7961
"Female",57.000000,0.699632,0.000000,5.772725,0.665020,0.475019,3.654764,0.000000,14.434300,2.841238,3.323382,5081
"Male",64.000000,0.734119,0.000000,3.867497,0.598021,0.629488,4.510491,0.000000,17.758670,3.188962,4.279428,8089
"Female",49.000000,0.814037,0.000000,6.150879,0.743903,0.607055,3.939561,0.000000,14.768623,3.059152,3.572024,11933
"Female",54.000000,0.874801,0.000000,6.236337,0.751258,0.637837,4.106431,0.000000,14.964563,2.784559,3.851967,6491
"Female",48.000000,0.958176,0.000000,6.781550,0.799117,0.772286,4.585711,0.000000,15.383975,3.012766,4.283920,7645
"Female",43.000000,0.826042,0.000000,6.253833,0.796698,0.603584,3.954121,0.000000,15.081360,2.922804,3.587095,8784
"Female",45.000000,0.801761,0.000000,5.679043,0.799274,0.633725,3.858906,0.000000,14.376992,2.882635,3.389847,7185
"Male",58.000000,0.834094,0.000000,5.352886,0.666532,0.728030,5.399755,0.000000,16.647656,3.406940,5.542140,15408
"Male",99.000000,0.507364,0.000000,4.077794,0.455180,0.449013,2.725923,0.000000,15.499275,3.039307,1.324025,700
"Male",63.000000,0.710106,0.000000,10.550802,0.618115,0.621199,4.473189,0.000000,15.858437,3.070202,4.224859,9638
"Female",39.000000,0.757327,0.000000,5.950621,0.725579,0.573069,4.113682,0.000000,16.117564,3.214705,3.406385,13902
"Female",40.000000,0.915475,0.000000,7.010830,0.783349,0.737399,4.631138,0.000000,14.671757,3.079455,4.461392,13014
"Female",21.000000,0.871973,0.000000,6.135340,0.923370,0.618485,4.245096,0.000000,14.872388,3.298157,3.771687,4605
"Female",55.000000,0.786497,0.000000,5.369862,0.670961,0.655994,3.829525,0.000000,15.832895,2.616017,3.612311,6950
"Male",50.000000,0.810806,0.000000,8.000665,0.682756,0.636529,4.864903,0.000000,16.274264,3.256322,4.569160,23601
"Male",62.000000,0.712823,0.000000,4.502055,0.516524,0.627545,4.657980,0.000000,13.968377,2.795099,4.480703,10260
"Male",52.000000,0.761382,0.000000,6.677540,0.622203,0.676361,4.891961,0.000000,17.224822,3.310446,4.452862,23093
"Female",58.000000,0.679197,0.000000,5.606685,0.664728,0.551437,3.801623,0.000000,13.789001,2.774274,3.475337,5937
"Female",41.000000,0.977319,0.000000,10.476322,0.962305,0.684642,4.473585,0.000000,14.281784,3.082009,4.076376,7648
"Female",60.000000,0.729456,0.000000,6.343945,0.703904,0.504460,3.596724,0.000000,12.377119,2.917241,2.952749,4300
"Female",59.000000,0.762749,0.000000,4.263096,0.639391,0.671019,3.680580,0.000000,15.838370,2.734860,3.298613,5105
"Female",61.000000,0.603315,0.000000,4.657823,0.593231,0.401553,3.735760,0.000000,11.810830,2.687655,3.102594,4273
"Male",96.000000,1.064118,0.000000,3.532310,0.776303,0.725350,4.946632,0.000000,13.147149,2.842918,4.128479,370
"Male",71.000000,0.728738,0.000000,5.174605,0.610309,0.670553,3.226453,0.000000,13.926992,2.175990,2.893237,2817
"Male",59.000000,0.783790,0.000000,5.032079,0.596070,0.663466,4.949762,0.000000,15.518181,3.105187,4.702525,14038
"Male",65.000000,0.704544,0.000000,6.076948,0.668658,0.557692,4.251034,0.000000,13.945873,2.959508,3.986670,8403
"Female",51.000000,0.733907,0.000000,4.783628,0.674258,0.545290,3.554791,0.000000,15.387004,2.731736,2.944828,6665
"Male",67.000000,0.637933,0.000000,4.289180,0.633204,0.547160,4.100299,0.000000,13.383212,3.216365,3.877139,3692
"Female",63.000000,0.878261,0.000000,5.174605,0.754471,0.648771,3.914002,0.000000,12.598299,2.616216,3.565424,2258
"Female",65.000000,1.014107,0.000000,4.966690,0.754671,0.940931,4.831227,0.000000,16.660180,2.860050,4.596372,2245
"Female",64.000000,0.475151,0.000000,3.104999,0.549350,0.328054,2.190944,0.000000,11.840149,2.205786,1.355905,1203
"Male",78.000000,1.707623,0.000000,3.427637,0.825107,2.247040,6.184207,0.000000,10.746578,2.074210,6.877156,437
"Female",66.000000,0.674361,0.000000,5.136993,0.697944,0.515498,2.904211,0.000000,12.731083,2.747612,1.700222,822
"Female",50.000000,0.811139,0.000000,6.466246,0.764289,0.624682,4.382317,0.000000,15.076001,2.958806,4.262396,6810
"Female",56.000000,0.873234,0.000000,10.677247,0.886264,0.660353,4.167441,0.000000,15.801680,3.014082,3.877118,3887
"Female",68.000000,0.638134,0.000000,4.503533,0.598097,0.492972,2.991493,0.000000,13.460026,2.809243,2.314842,1131
"Male",19.000000,0.583225,0.000000,4.105891,0.733577,0.325052,3.598081,0.000000,14.888964,3.374161,2.515873,5786
"Male",76.000000,0.807442,0.000000,2.626040,0.538643,0.712500,4.140580,0.000000,10.218791,2.083623,4.136770,250
"Male",75.000000,0.602790,0.000000,2.100055,0.415223,0.641202,4.717069,0.000000,11.958491,2.949565,4.924375,324
"Male",69.000000,0.758015,0.000000,4.961276,0.694702,0.641202,4.478784,0.000000,14.617267,3.002693,4.357994,1823
"Female",73.000000,2.033169,0.000000,4.306592,1.374767,2.242640,6.408215,0.000000,13.179422,3.602406,7.324938,299
"Female",67.000000,0.331337,0.000000,2.600625,0.382159,0.217822,1.859844,0.000000,9.850768,1.564441,1.291668,463
"Male",72.000000,0.508949,0.000000,2.851771,0.407650,0.453676,3.444445,0.000000,11.748868,2.508524,2.971319,1522
"Female",62.000000,0.867211,0.000000,4.961276,0.836474,0.634734,4.035782,0.000000,16.636679,2.845844,3.722398,3126
"Male",83.000000,1.134833,0.000000,1.180527,0.099995,1.141484,6.249725,0.000000,8.297286,0.964305,6.259054,291
"Male",18.000000,0.586860,0.000000,6.441841,0.728606,0.306706,3.764388,0.000000,15.438331,3.333456,2.833655,2721
"Male",117.000000,1.134701,0.000000,3.831999,1.013476,0.766543,5.493875,0.000000,15.426705,3.473979,5.333386,179
"Male",70.000000,0.649316,0.000000,8.954927,0.786661,0.492965,3.044442,0.000000,12.563421,2.495427,2.553523,633
"Female",71.000000,0.521013,0.000000,1.283037,0.276143,0.537352,4.242116,0.000000,8.101545,2.261450,4.719155,55
"Male",1.000000,0.208178,0.000000,1.339015,0.386668,0.000000,0.863599,0.000000,10.166080,2.300547,0.000000,46
"Male",87.000000,1.259408,0.130663,2.043337,0.412762,1.338650,3.454340,0.693419,9.248071,1.556448,3.261752,55
"Male",17.000000,0.774540,0.000000,4.700321,0.732703,0.552138,4.269910,0.000000,16.703329,3.019359,4.142457,768
"Male",73.000000,0.856160,0.000000,2.982479,0.698920,0.628266,4.302460,0.000000,10.100586,2.792319,3.864527,569
"Male",77.000000,0.853796,0.000000,2.386697,0.553019,0.692500,5.076427,0.000000,10.115044,2.188361,5.341901,295
"",37.000000,0.096140,0.000000,2.671980,0.356403,0.000000,0.238845,0.000000,7.919848,1.014067,0.000000,313
"Male",116.000000,0.704776,0.000000,2.641915,0.550354,0.626277,5.585043,0.000000,12.745134,3.450276,5.135569,60
"Male",74.000000,0.807652,0.000000,2.063469,0.614420,0.627510,4.467596,0.000000,10.872272,3.112327,4.055615,290
"Male",101.000000,0.558288,0.029888,2.510925,0.598417,0.318926,4.476415,0.051335,13.441176,3.511107,4.582842,74
"Female",86.000000,0.564747,0.085821,2.504467,0.770747,0.161804,3.590303,0.228071,11.312525,3.614370,1.641884,18
"Female",70.000000,0.456279,0.000000,5.539506,0.765780,0.214038,1.872034,0.000000,9.789591,1.971125,1.484106,192
"Male",118.000000,0.791467,0.062551,3.034819,0.500153,0.818796,6.602651,0.325410,12.962613,4.166650,7.725247,82
"Female",69.000000,0.965956,0.000000,3.474084,0.750090,0.826731,3.936538,0.000000,9.543508,2.099269,3.952194,321
"Female",17.000000,0.618440,0.000000,4.259587,0.548335,0.498825,3.393674,0.000000,12.598366,2.755576,2.833060,679
"Female",18.000000,0.967952,0.000000,3.903187,0.960660,0.741254,4.515956,0.000000,15.239706,3.635948,4.549760,989
"Male",79.000000,0.532316,0.073770,3.034953,0.617288,0.252001,3.235055,0.288665,11.034089,3.120859,1.536147,34
"Male",16.000000,0.750876,0.000000,6.175909,0.818926,0.640434,4.339908,0.000000,17.018229,3.574003,3.520934,230
"Female",72.000000,1.223890,0.000000,2.386697,0.818367,0.977912,4.193870,0.000000,7.232416,2.139997,4.807508,82
"Female",87.000000,1.248991,0.419161,1.835444,0.440267,1.331281,6.775906,0.081237,8.994515,3.176632,8.159239,7
"Female",14.000000,1.028374,0.026028,2.505143,0.410212,1.099182,4.645756,0.302263,7.808688,1.225017,4.501774,182
"Female",16.000000,0.507448,0.000000,4.503313,0.708567,0.558366,2.919941,0.000000,10.634269,3.092309,1.865656,129
"Male",13.000000,0.527646,0.000000,3.339433,0.822513,0.336544,3.007866,0.000000,9.993317,2.743357,2.440559,15
"Male",111.000000,0.545877,0.000000,4.091230,0.737864,0.242753,1.927306,0.000000,7.617499,1.889424,1.189148,84
"Male",15.000000,0.809576,0.000000,3.339433,0.646481,0.526494,5.826909,0.000000,13.347725,3.523884,6.762918,59
"Female",13.000000,0.552750,0.079665,1.818878,0.570155,0.291521,4.304273,0.519557,13.170316,3.611168,2.749087,16
"Male",108.000000,0.881126,0.316611,1.792613,0.461902,0.714036,3.245115,0.672846,4.743513,1.214805,3.214653,10
"Female",76.000000,0.539932,0.000000,1.654264,0.490086,0.424521,1.300208,0.000000,3.515556,1.193748,0.951359,10
"Male",94.000000,0.382595,0.000000,1.217315,0.356448,0.388378,0.906912,0.000000,3.095437,0.893304,0.859827,14
"Female",102.000000,0.601592,0.000000,1.103327,0.454106,0.651520,3.824180,0.000000,6.390931,2.746369,4.452894,4
"Male",81.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,,0.000000,1
"Female",78.000000,0.864965,0.000000,2.962917,0.740846,0.594914,3.596076,0.000000,12.013211,3.207228,2.548527,165
"Male",0.000000,1.196555,0.240135,2.081212,0.716772,0.978875,3.731135,1.739411,4.865226,1.024560,4.064531,7
"Male",88.000000,0.814131,0.177992,1.604179,0.579038,0.634042,4.411879,1.143170,6.559059,1.213595,4.668843,62
"Female",74.000000,0.326281,0.326281,0.326281,,0.326281,4.399298,4.399298,4.399298,,4.399298,1
"Female",80.000000,0.314717,0.033846,0.512619,0.218844,0.489355,1.017869,0.254499,1.734775,0.632927,1.316282,9
"",44.000000,1.058733,0.000000,1.588100,0.916890,1.588100,4.504364,0.000000,7.110897,3.916955,6.402196,3
"Female",107.000000,0.088791,0.088791,0.088791,,0.088791,0.598590,0.598590,0.598590,,0.598590,1
"Male",86.000000,0.123904,0.117054,0.144453,0.013700,0.117054,1.416458,1.106019,1.940416,0.363492,1.309698,4
"Male",,0.515710,0.000000,3.399385,0.672939,0.242753,3.388432,0.000000,12.745134,3.342367,2.424790,245
"Female",84.000000,0.168048,0.168048,0.168048,,0.168048,0.817529,0.817529,0.817529,,0.817529,1
"Female",,1.112306,1.103327,1.121284,0.012697,1.112306,7.124774,5.338681,8.910867,2.525917,7.124774,2
"Female",75.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2
